iter	RMSE
161	154621.9439
162	154262.6898
163	153897.2877
164	153702.7688
165	153424.9268
166	153337.8146
167	152927.1427
168	152666.2343
169	152388.8261
170	152176.3485
171	151883.3101
172	151474.7892
173	151093.2094
174	150888.8523
175	150434.6329
176	149991.2884
177	149871.0801
178	149675.0787
179	149384.9757
180	149235.0119
181	148995.4415
182	148840.7904
183	148243.0788
184	148046.7793
185	147446.5609
186	147338.2314
187	147078.9635
188	146760.3996
189	146530.56
190	146402.0942
191	146011.6636
192	145659.8719
193	145495.2999
194	145424.7921
195	145357.1733
196	145138.1144
197	144978.427
198	144741.3308
199	144665.185
200	144589.2328
201	144332.2844
202	143981.7636
203	143662.5727
204	143616.8008
205	143407.7969
206	143199.5204
207	142916.9554
208	142587.0994
209	142205.388
210	142021.0326
211	141797.2281
212	141701.6212
213	141486.9033
214	141381.7082
215	141273.6722
216	140844.7153
217	140661.7758
218	140156.0852
219	139913.4093
220	139732.7231
221	139529.6326
222	139334.5102
223	138831.0211
224	138798.3699
225	138702.0874
226	138526.5457
227	138274.4348
228	138243.8867
229	138158.5216
230	137918.4683
231	137889.4835
232	137623.6084
233	137470.7805
234	137442.8859
235	137088.8045
236	136835.2395
237	136637.2087
238	136404.9624
239	136377.5372
240	136202.6894
241	136176.1606
242	136018.073
243	135760.0979
244	135551.732
245	135388.0889
246	135226.7772
247	135050.4509
248	134816.3995
249	134663.327
250	134450.971
251	134185.9725
252	134035.1287
253	134010.3399
254	133744.2322
255	133584.2971
256	133255.0941
257	133124.0784
258	132950.8363
259	132794.6111
260	132665.23
261	132525.938
262	132400.2629
263	132159.0622
264	131963.9522
265	131806.6192
266	131617.6545
267	131314.4679
268	131170.0098
269	131041.6078
270	130945.0936
271	130780.5184
272	130690.2756
273	130528.4066
274	130408.5102
275	130002.9164
276	129876.3725
277	129645.459
278	129450.9869
279	129240.0498
280	128820.8679
281	128664.4019
282	128514.7456
283	128357.2812
284	128212.4869
285	127954.2849
286	127769.1185
287	127662.6592
288	127535.3996
289	127397.8952
290	127213.731
291	127035.7107
292	126800.3042
293	126710.7984
294	126434.6124
295	126356.6662
296	126257.9901
297	126120.295
298	125999.4445
299	125708.1008
300	125562.0889
301	125447.1594
302	125354.8519
303	125253.0559
304	125166.7604
305	125104.3543
306	124933.3545
307	124755.2822
308	124633.6375
309	124515.2666
310	124429.5824
311	124328.073
312	124267.8146
313	124230.9624
314	123967.1964
315	123827.6957
316	123730.4314
317	123579.1072
318	123379.6984
319	123166.7113
320	122967.8299
321	122878.1223
322	122796.1294
323	122720.9973
324	122539.3174
325	122383.1856
326	122317.2826
327	122201.767
328	122146.4839
329	122047.6902
330	121907.4485
331	121891.4654
332	121824.3196
333	121714.0875
334	121617.1315
335	121565.3596
336	121478.4967
337	121378.0995
338	121204.3931
339	121048.6366
340	120994.2361
341	120982.383
342	120710.8974
343	120437.9533
344	120351.7725
345	120272.3393
346	120172.501
347	120108.7561
348	120032.4568
349	120018.3785
350	119864.487
351	119787.3372
352	119617.7032
353	119353.5424
354	119195.57
355	119129.0559
356	119015.7138
357	118805.5656
358	118701.5894
359	118640.0829
360	118537.2388
361	118437.2996
362	118423.8276
363	118339.3492
364	118274.6918
365	118049.2662
366	117991.1912
367	117890.71
368	117804.1316
369	117666.2511
370	117601.9157
371	117480.7459
372	117249.5798
373	117143.9341
374	117036.2792
375	116924.595
376	116809.1928
377	116732.8002
378	116666.6229
379	116595.3172
380	116465.6937
381	116409.1083
382	116355.6752
383	116266.6765
384	116211.7515
385	116098.0446
386	116071.9264
387	115880.6747
388	115830.2244
389	115732.4874
390	115637.1547
391	115552.8946
392	115531.8715
393	115398.4619
394	115352.2304
395	115243.1517
396	115142.3148
397	115066.9274
398	114967.1123
399	114909.2987
400	114840.554
401	114752.4507
402	114702.5582
403	114620.6018
404	114521.8779
405	114406.857
406	114303.3609
407	114238.3021
408	114157.3855
409	114091.4012
410	114023.6062
411	113950.0341
412	113815.3362
413	113694.9807
414	113645.4637
415	113599.8597
416	113558.8811
417	113548.4537
418	113482.353
419	113410.8386
420	113302.0742
421	113193.6922
422	113144.5266
423	113075.5841
424	113017.1323
425	112850.5
426	112696.5705
427	112640.3032
428	112571.5629
429	112477.0977
430	112398.9283
431	112329.3686
432	112289.5117
433	112189.2777
434	112163.4198
435	112085.7946
436	112023.6376
437	111924.9987
438	111817.9113
439	111766.9378
440	111681.1747
441	111591.5716
442	111555.7392
443	111536.4603
444	111491.4125
445	111449.5785
446	111412.2893
447	111350.4278
448	111295.9388
449	111249.9031
450	111193.5145
451	111137.8653
452	111001.472
453	110977.2649
454	110877.8841
455	110817.5371
456	110779.6581
457	110692.9327
458	110622.1381
459	110579.076
460	110543.1304
461	110513.5483
462	110420.0924
463	110370.2849
464	110301.262
465	110203.2468
466	110074.8996
467	110042.223
468	109975.2474
469	109836.0776
470	109763.7173
471	109729.8263
472	109640.8739
473	109619.1568
474	109528.0895
475	109389.2787
476	109350.7684
477	109282.9504
478	109212.3043
479	109182.8116
480	109127.1682
481	109099.3316
482	109043.3681
483	109020.2841
484	108982.9001
485	108884.8792
486	108764.8353
487	108725.1145
488	108679.6733
489	108629.1082
490	108597.8879
491	108529.0454
492	108465.8778
493	108407.8648
494	108337.6202
495	108260.4467
496	108170.9516
497	108166.5561
498	108109.0612
499	108062.3687
500	107944.2193
501	107892.7861
502	107759.5994
503	107716.9926
504	107679.2701
505	107625.1719
506	107599.0673
507	107582.9821
508	107518.328
509	107488.1712
510	107454.919
511	107407.1839
512	107321.2853
513	107272.3903
514	107222.6662
515	107137.3043
516	107113.6076
517	107078.8581
518	107039.905
519	106960.7724
520	106914.1486
521	106834.7062
522	106830.6137
523	106785.5475
524	106697.99
525	106645.7202
526	106615.7858
527	106487.6187
528	106448.2838
529	106350.0133
530	106315.6248
531	106261.986
532	106222.5101
533	106148.0771
534	106108.3428
535	106018.4703
536	105959.3379
537	105915.7139
538	105873.9973
539	105870.1523
540	105770.2824
541	105720.5239
542	105717.048
543	105635.415
544	105604.3492
545	105578.015
546	105536.0127
547	105473.9532
548	105444.7731
549	105372.8252
550	105357.6482
551	105288.0182
552	105263.0644
553	105231.7536
554	105183.7047
555	105115.5555
556	105022.5539
557	104929.6453
558	104891.9035
559	104826.8448
560	104778.2747
561	104736.7036
562	104688.7622
563	104641.1864
564	104579.8596
565	104523.5164
566	104485.3119
567	104441.6392
568	104389.0831
569	104385.9447
570	104331.2605
571	104261.8335
572	104223.1045
573	104177.1281
574	104117.6755
575	104053.4743
576	103985.1981
577	103946.4196
578	103915.1292
579	103872.879
580	103773.8542
581	103725.8383
582	103696.3788
583	103657.0244
584	103611.2526
585	103564.0183
586	103543.3026
587	103502.7953
588	103444.6669
589	103392.1453
590	103345.6638
591	103297.1062
592	103257.4311
593	103204.0142
594	103167.5563
595	103106.2071
596	102963.9229
597	102915.8786
598	102870.4348
599	102831.5058
600	102764.2496
601	102734.5353
602	102692.6754
603	102664.6981
604	102601.9917
605	102573.1353
606	102549.9087
607	102524.0719
608	102499.8506
609	102478.6361
610	102436.889
611	102391.2271
612	102352.0746
613	102256.3931
614	102221.9981
615	102178.4585
616	102138.4684
617	102091.4569
618	102003.1309
619	101940.7173
620	101895.3833
621	101828.5752
622	101781.2181
623	101735.8634
624	101652.3257
625	101649.7864
626	101601.3658
627	101552.2294
628	101504.1738
629	101459.9737
630	101439.8585
631	101420.1936
632	101376.3929
633	101360.1654
634	101308.1972
635	101236.7283
636	101192.622
637	101173.1327
638	101164.4079
639	101114.2825
640	101073.2336
641	101010.8604
642	100981.073
643	100941.3848
644	100888.1603
645	100818.462
646	100730.8769
647	100683.9681
648	100626.9468
649	100550.3552
650	100489.3941
651	100451.2759
652	100422.3161
653	100395.049
654	100346.6841
655	100314.2667
656	100277.7021
657	100241.2874
658	100181.9454
659	100144.2794
660	100063.0335
661	100029.4835
662	99978.84766
663	99938.81241
664	99895.8015
665	99836.66452
666	99803.68044
667	99746.19457
668	99720.74467
669	99612.35632
670	99590.99847
671	99552.88951
672	99550.6793
673	99539.30483
674	99455.03891
675	99407.05776
676	99368.34145
677	99326.41277
678	99298.09659
679	99243.80865
680	99196.68868
681	99172.65813
682	99142.5263
683	99095.5256
684	99064.26868
685	99028.5355
686	98979.86761
687	98959.19623
688	98925.18421
689	98898.31537
690	98791.16285
691	98744.99513
692	98688.31711
693	98638.83909
694	98585.89816
695	98549.0417
696	98508.63066
697	98436.96692
698	98342.33517
699	98316.09903
700	98290.1593
701	98254.86565
702	98149.22048
703	98080.36455
704	98021.09701
705	97997.58951
706	97974.60298
707	97933.96485
708	97904.99753
709	97878.33678
710	97833.11963
711	97819.46548
712	97762.22633
713	97692.46132
714	97671.11879
715	97641.47413
716	97620.48278
717	97581.89521
718	97547.48993
719	97501.93312
720	97470.72774
721	97432.20847
722	97420.05633
723	97408.29509
724	97333.19462
725	97275.49002
726	97246.57236
727	97236.04437
728	97198.07391
729	97184.98981
730	97157.50068
731	97117.11245
732	97093.33029
733	97046.51763
734	97026.24254
735	96969.87752
736	96961.0809
737	96911.41788
738	96868.23343
739	96827.13283
740	96781.86336
741	96766.3088
742	96741.83202
743	96693.02999
744	96664.52549
745	96625.57428
746	96597.68356
747	96566.50476
748	96523.30473
749	96503.01879
750	96458.03507
751	96456.26671
752	96446.25767
753	96406.27304
754	96395.95329
755	96348.8691
756	96292.16081
757	96270.99029
758	96225.35258
759	96193.64334
760	96148.63405
761	96100.52577
762	96076.19493
763	96038.53425
764	95992.94881
765	95977.77176
766	95962.52113
767	95934.17374
768	95883.25394
769	95854.64019
770	95829.31875
771	95798.08897
772	95767.8642
773	95758.92115
774	95730.11466
775	95668.51686
776	95640.52992
777	95605.12606
778	95562.98444
779	95535.42151
780	95522.52973
781	95431.71313
782	95382.4008
783	95362.48456
784	95320.55906
785	95298.16208
786	95273.3504
787	95255.92537
788	95228.01241
789	95167.92691
790	95123.13012
791	95025.9115
792	94981.97952
793	94899.97984
794	94892.32841
795	94858.34251
796	94794.64314
797	94764.40581
798	94727.46337
799	94702.88135
800	94656.76178
801	94579.89014
802	94491.75665
803	94460.94635
804	94434.42948
805	94417.97078
806	94383.26387
807	94335.40557
808	94309.73862
809	94285.12837
810	94266.07237
811	94249.09983
812	94189.86611
813	94130.02965
814	94100.79998
815	94094.33643
816	94063.81638
817	94050.39804
818	94005.06045
819	93980.3879
820	93932.04702
821	93904.22712
822	93876.33918
823	93860.32115
824	93843.11106
825	93806.01307
826	93780.40967
827	93723.65672
828	93698.00247
829	93666.44696
830	93639.95764
831	93625.92588
832	93604.55849
833	93559.90718
834	93534.88535
835	93495.61471
836	93445.49815
837	93422.35044
838	93390.51748
839	93309.95217
840	93286.6039
841	93263.79871
842	93238.83919
843	93227.31483
844	93185.24302
845	93159.88618
846	93139.48717
847	93117.0853
848	93093.38878
849	93066.4438
850	93029.69439
851	93009.21216
852	92984.64293
853	92920.90896
854	92906.05092
855	92878.29954
856	92838.08162
857	92813.19272
858	92759.59292
859	92698.18991
860	92661.19121
861	92638.09401
862	92618.96443
863	92597.36247
864	92520.62132
865	92499.94669
866	92446.56363
867	92382.15087
868	92345.2644
869	92332.28836
870	92319.38007
871	92300.71954
872	92276.72258
873	92243.71281
874	92223.47439
875	92200.06375
876	92164.22382
877	92142.29393
878	92095.13864
879	92064.26538
880	92022.00792
881	92002.64551
882	91959.83081
883	91930.33633
884	91921.36638
885	91901.27864
886	91854.15385
887	91846.24362
888	91827.28763
889	91817.78555
890	91775.27881
891	91745.54987
892	91707.97627
893	91700.17749
894	91662.5366
895	91652.234
896	91623.47173
897	91611.4098
898	91561.57429
899	91555.38298
900	91528.92964
901	91496.89641
902	91461.26286
903	91412.20381
904	91397.43074
905	91377.87301
906	91347.77367
907	91294.46034
908	91286.81421
909	91240.88797
910	91216.00079
911	91194.26467
912	91184.15323
913	91151.28245
914	91096.58922
915	91039.97974
916	91027.77042
917	91001.50498
918	90983.04095
919	90947.25817
920	90920.01182
921	90884.01815
922	90871.2706
923	90845.65348
924	90811.55692
925	90757.03866
926	90749.86888
927	90719.12117
928	90682.11471
929	90663.25631
930	90655.57126
931	90639.16779
932	90606.86747
933	90572.08647
934	90542.99457
935	90535.08827
936	90513.77527
937	90492.87852
938	90475.84795
939	90438.77071
940	90419.37739
941	90384.6344
942	90349.92361
943	90329.7503
944	90326.52752
945	90302.38864
946	90266.28533
947	90216.58087
948	90148.65191
949	90116.70298
950	90112.80213
951	90072.0382
952	90037.33533
953	89995.25153
954	89993.92888
955	89968.03487
956	89962.2607
957	89932.11536
958	89923.798
959	89911.00919
960	89893.78465
961	89891.63033
962	89877.59188
963	89867.71671
964	89847.11061
965	89816.33904
966	89791.15828
967	89759.74174
968	89729.52383
969	89721.43308
970	89685.62158
971	89658.75515
972	89639.92121
973	89614.09048
974	89589.22996
975	89526.46561
976	89507.34501
977	89479.84284
978	89435.92792
979	89422.52165
980	89386.02051
981	89376.60194
982	89349.97365
983	89336.30128
984	89298.81587
985	89285.6314
986	89257.53657
987	89220.45053
988	89208.93636
989	89174.91954
990	89156.00248
991	89135.36912
992	89128.2508
993	89093.72932
994	89075.21265
995	89056.37608
996	89051.7162
997	89049.06281
998	89048.48995
999	89026.59849
